order_id,customer_id,product_id,order_timestamp,quantity,unit_price,order_status,payment_method,updated_at
3,9.0,38.0,2024-02-02 18:13:00,2.0,663.83,returned,credit_card,2024-02-04 05:13:00
4,33.0,8.0,2024-02-07 04:34:00,2.0,39.57,returned,cash,2024-02-07 06:34:00
8,13.0,36.0,2024-05-09 19:27:00,5.0,908.59,cancelled,cash,2024-05-12 05:27:00
14,4.0,34.0,2024-02-06 23:40:00,5.0,,paid,cash,2024-02-08 14:40:00
19,56.0,30.0,2024-04-11 23:02:00,3.0,,,,2024-04-13 12:02:00
36,66.0,28.0,2024-03-10 14:57:00,2.0,,created,,2024-03-10 20:57:00
55,119.0,24.0,2024-02-10 22:45:00,1.0,1970.41,paid,,2024-02-11 01:45:00
58,24.0,28.0,2024-05-21 20:37:00,1.0,,paid,bank_transfer,2024-05-23 13:37:00
64,32.0,7.0,2024-02-01 08:28:00,3.0,,paid,bank_transfer,2024-02-03 01:28:00
77,45.0,19.0,2024-04-07 12:52:00,3.0,1911.07,shipped,,2024-04-08 20:52:00
87,29.0,31.0,2024-04-04 19:14:00,5.0,,cancelled,,2024-04-07 15:14:00
91,1.0,38.0,2024-04-11 08:52:00,1.0,853.16,returned,credit_card,2024-04-11 16:52:00
93,112.0,23.0,2024-01-21 21:42:00,2.0,,returned,bank_transfer,2024-01-23 01:42:00
96,112.0,16.0,2024-06-02 21:45:00,5.0,883.54,created,bank_transfer,2024-06-05 13:45:00
100,54.0,25.0,2024-01-15 17:26:00,3.0,414.64,cancelled,cash,2024-01-16 04:26:00
107,114.0,34.0,2024-05-05 05:58:00,1.0,1890.92,created,,2024-05-05 22:58:00
112,8.0,11.0,2024-04-06 17:30:00,5.0,,returned,credit_card,2024-04-09 12:30:00
114,76.0,26.0,2024-03-21 00:13:00,3.0,333.28,returned,,2024-03-23 21:13:00
117,103.0,5.0,2024-01-22 19:18:00,3.0,316.9,,,2024-01-24 11:18:00
119,53.0,2.0,2024-05-22 17:32:00,3.0,,cancelled,credit_card,2024-05-24 06:32:00
122,79.0,30.0,2024-06-09 15:38:00,2.0,,shipped,,2024-06-11 09:38:00
125,24.0,30.0,2024-02-21 18:34:00,5.0,1597.39,cancelled,,2024-02-22 11:34:00
127,70.0,24.0,2024-05-09 22:26:00,1.0,,paid,credit_card,2024-05-12 22:26:00
129,99.0,23.0,2024-04-05 12:29:00,5.0,,created,credit_card,2024-04-06 06:29:00
136,87.0,21.0,2024-06-06 18:05:00,2.0,617.71,shipped,bank_transfer,2024-06-09 11:05:00
141,47.0,29.0,2024-03-09 17:52:00,5.0,213.81,shipped,credit_card,2024-03-12 02:52:00
142,105.0,29.0,2024-03-08 11:55:00,2.0,,,,2024-03-09 08:55:00
151,84.0,7.0,2024-06-28 07:27:00,2.0,958.85,returned,bank_transfer,2024-07-01 01:27:00
